numero_controle_execucao;numero_indicacao;id_responsavel;responsavel;ano_inciso;tipo_inciso;numero_inciso;uo;uo_descricao;uo_sigla;id_tipo_indicacao;tipo_indicacao;id_status_indicacao;status_indicacao;indicador_impositividade;processo_compra;numero_processo_compras;numero_sei_compras;descricao_processo_compras;status_processo_compra;registro_preco;numero_registro_preco;descricao_registro_preco;status_registro_precos;data_referencia_status;numero_termo_doacao;numero_sei_doacao;data_entrega_bem;descricao_execucao_controle;id_status_controle_execucao;status_controle_execucao;valor_indicacao;valor_utilizado_controle;valor_empenhado;valor_liquidado;valor_pago;valor_executado;justificativa;id_iot;classificacao_iot;af_os_numero;af_os_ano;ordens_servico_af;empenhos;valor_empenhado_armazem;valor_liquidado_armazem;valor_pago_armazem
65279;199835;463;MAURO TRAMONTE;2026;R;2560;1231;SECRETARIA DE ESTADO DE AGRICULTURA, PECUÁRIA E ABASTECIMENTO;SEAPA;5;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;6;APROVADO;S;S;12310210001262026/2026;1,2300100030842e+18;Aquisição de Kit Feira;EM ANDAMENTO;S;123102100000001262026/2026;;ACOMPANHAMENTO;TIMESTAMP '2026-07-15 00:00:00.000000';;;;Foi concluído o Registro de Preços que está em fase de assinatura.;27;Controle Cadastrado;25000,0;25000,0;0,0;0,0;0,0;0,0;;;;;;;;;;
65279;195566;115;TITO TORRES;2026;S;7;1231;SECRETARIA DE ESTADO DE AGRICULTURA, PECUÁRIA E ABASTECIMENTO;SEAPA;5;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;6;APROVADO;S;S;12310210001262026/2026;1,2300100030842e+18;Aquisição de Kit Feira;EM ANDAMENTO;S;123102100000001262026/2026;;ACOMPANHAMENTO;TIMESTAMP '2026-07-15 00:00:00.000000';;;;Foi concluído o Registro de Preços que está em fase de assinatura.;27;Controle Cadastrado;25000,0;25000,0;0,0;0,0;0,0;0,0;;;;;;;;;;
65279;199872;727;LELECO PIMENTEL;2026;R;1937;1231;SECRETARIA DE ESTADO DE AGRICULTURA, PECUÁRIA E ABASTECIMENTO;SEAPA;5;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;6;APROVADO;S;S;12310210001262026/2026;1,2300100030842e+18;Aquisição de Kit Feira;EM ANDAMENTO;S;123102100000001262026/2026;;ACOMPANHAMENTO;TIMESTAMP '2026-07-15 00:00:00.000000';;;;Foi concluído o Registro de Preços que está em fase de assinatura.;27;Controle Cadastrado;25000,0;25000,0;0,0;0,0;0,0;0,0;;;;;;;;;;
65279;199879;727;LELECO PIMENTEL;2026;R;1937;1231;SECRETARIA DE ESTADO DE AGRICULTURA, PECUÁRIA E ABASTECIMENTO;SEAPA;5;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;6;APROVADO;S;S;12310210001262026/2026;1,2300100030842e+18;Aquisição de Kit Feira;EM ANDAMENTO;S;123102100000001262026/2026;;ACOMPANHAMENTO;TIMESTAMP '2026-07-15 00:00:00.000000';;;;Foi concluído o Registro de Preços que está em fase de assinatura.;27;Controle Cadastrado;25000,0;25000,0;0,0;0,0;0,0;0,0;;;;;;;;;;
65279;199781;463;MAURO TRAMONTE;2026;R;2511;1231;SECRETARIA DE ESTADO DE AGRICULTURA, PECUÁRIA E ABASTECIMENTO;SEAPA;5;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;6;APROVADO;S;S;12310210001262026/2026;1,2300100030842e+18;Aquisição de Kit Feira;EM ANDAMENTO;S;123102100000001262026/2026;;ACOMPANHAMENTO;TIMESTAMP '2026-07-15 00:00:00.000000';;;;Foi concluído o Registro de Preços que está em fase de assinatura.;27;Controle Cadastrado;25000,0;25000,0;0,0;0,0;0,0;0,0;;;;;;;;;;
65281;203628;501;CORONEL HENRIQUE;2026;S;30;1231;SECRETARIA DE ESTADO DE AGRICULTURA, PECUÁRIA E ABASTECIMENTO;SEAPA;2;EXECUÇÃO DIRETA;6;APROVADO;S;S;12310210001472025/2025;1,2300100016492e+18;Serviços de Georreferenciamento.;CONCLUÍDO;S;123102100000001472025/2025;;ENCERRADO;TIMESTAMP '2026-07-15 00:00:00.000000';;;;;27;Controle Cadastrado;150000,0;150000,0;0,0;0,0;0,0;0,0;;;;;;;;;;
65279;195564;115;TITO TORRES;2026;S;7;1231;SECRETARIA DE ESTADO DE AGRICULTURA, PECUÁRIA E ABASTECIMENTO;SEAPA;5;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;6;APROVADO;S;S;12310210001262026/2026;1,2300100030842e+18;Aquisição de Kit Feira;EM ANDAMENTO;S;123102100000001262026/2026;;ACOMPANHAMENTO;TIMESTAMP '2026-07-15 00:00:00.000000';;;;Foi concluído o Registro de Preços que está em fase de assinatura.;27;Controle Cadastrado;25000,0;25000,0;0,0;0,0;0,0;0,0;;;;;;;;;;
65279;195565;115;TITO TORRES;2026;S;7;1231;SECRETARIA DE ESTADO DE AGRICULTURA, PECUÁRIA E ABASTECIMENTO;SEAPA;5;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;6;APROVADO;S;S;12310210001262026/2026;1,2300100030842e+18;Aquisição de Kit Feira;EM ANDAMENTO;S;123102100000001262026/2026;;ACOMPANHAMENTO;TIMESTAMP '2026-07-15 00:00:00.000000';;;;Foi concluído o Registro de Preços que está em fase de assinatura.;27;Controle Cadastrado;25000,0;25000,0;0,0;0,0;0,0;0,0;;;;;;;;;;
65280;199222;12;HELY TARQUINIO;2026;R;2367;1231;SECRETARIA DE ESTADO DE AGRICULTURA, PECUÁRIA E ABASTECIMENTO;SEAPA;5;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;6;APROVADO;S;S;12310210001132026/2026;1,2300100008992e+18;Aquisição de Kit Irrigação;EM ANDAMENTO;S;123102100000001132026/2026;;ENCERRADO;TIMESTAMP '2026-07-14 00:00:00.000000';;;;;27;Controle Cadastrado;100000,0;100000,0;0,0;0,0;0,0;0,0;;;;;;;;;;
65280;203384;361;GUSTAVO SANTANA;2026;R;3827;1231;SECRETARIA DE ESTADO DE AGRICULTURA, PECUÁRIA E ABASTECIMENTO;SEAPA;5;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;6;APROVADO;S;S;12310210001132026/2026;1,2300100008992e+18;Aquisição de Kit Irrigação;EM ANDAMENTO;S;123102100000001132026/2026;;ENCERRADO;TIMESTAMP '2026-07-14 00:00:00.000000';;;;;27;Controle Cadastrado;50000,0;50000,0;0,0;0,0;0,0;0,0;;;;;;;;;;
