responsavel;valor_impositivo_inicial_loa;valor_utilizado;valor_empenhado;valor_liquidado;valor_pago
ADRIANO ALVARENGA;23916737,0;23872177,539999995;23872177,539999995;23302490,79;23302490,79
ALÊ PORTELA;23916737,0;23847526,009999998;23847526,009999998;23446076,009999998;23435477,089999996
ALENCAR DA SILVEIRA JR.;23916737,0;23913327,0;23913327,0;23913327,0;23913327,0
ANA PAULA SIQUEIRA;23916737,0;23884896,760000005;23884896,760000005;23884896,760000005;23884896,760000005
ANDREIA DE JESUS;23916737,0;23435697,150000002;23435697,150000002;23102334,76;23101588,57
ANTONIO CARLOS ARANTES;23916737,0;23700497,679999992;23700497,679999992;23373322,13999999;23304469,26999999
ARLEN SANTIAGO;23916737,0;23884122,810000002;23884122,810000002;23697022,19;23677822,19
ARNALDO SILVA;23916737,0;23908311,0;23908311,0;23908311,0;23908311,0
BEATRIZ CERQUEIRA;23916737,0;23590312,12;23590312,12;22591948,97;22587140,12
BELLA GONÇALVES;23916737,0;23708161,499999993;23708161,499999993;23696531,209999993;23696531,209999993
BETAO;23916737,0;23732357,859999996;23732357,859999996;23188691,259999998;23188691,259999998
BETINHO PINTO COELHO;23916737,0;23902139,31;23902139,31;23391766,57;23391766,57
BIM DA AMBULÂNCIA;23916737,0;23916737,0;23916737,0;23916737,0;23916737,0
BLOCO AVANCA MINAS;110326320,0;110326320,0;110326320,0;110326320,0;110326320,0
BLOCO DEMOCRACIA E LUTA;84866400,0;84357371,62;84357371,62;83954825,19;83926145,9
BLOCO MINAS EM FRENTE;131542920,0;131284915,38000003;131284915,38000003;130059060,75999999;130033490,19
BOSCO;23916737,0;23916737,0;23916737,0;23916737,0;23916737,0
BRUNO ENGLER;23916737,0;23779309,240000002;23779309,240000002;20816346,520000003;20267113,13
CAPOREZZO;23916737,0;23673411,099999994;23673411,099999994;21724419,8;21141703,66
CARLOS HENRIQUE;23916737,0;23792878,61;23792878,61;22380053,109999992;22380053,109999992
CASSIO SOARES;23916737,0;23816314,17;23816314,17;23816314,17;23816314,17
CELINHO DO SINTTROCEL;23916737,0;23916624,6;23916624,6;23863825,720000003;23858352,14
CHARLES SANTOS;23916737,0;23864415,319999997;23864415,319999997;23680692,61;23680692,61
CHIARA BIONDINI;23916737,0;23860085,25;23860085,25;22784728,66;22726728,66
CORONEL HENRIQUE;23916737,0;23374502,18;23374502,18;23342794,64;23342793,740000002
CORONEL SANDRO;23916737,0;23718204,740000002;23718204,740000002;23707944,03;23707944,03
CRISTIANO SILVEIRA;23916737,0;23698461,02;23698461,02;23635376,46;23635376,46
DELEGADA SHEILA;23916737,0;23916682,83;23916682,83;23916682,83;23916682,83
DELEGADO CHRISTIANO XAVIER;23916737,0;20874551,750000004;20874551,750000004;20840635,000000004;20840635,000000004
