responsavel_nome;uo;uo_descricao;uo_sigla;numero_indicacao;tipo_de_indicacao;status_da_indicacao;numero_inciso;numero_do_controle_de_execucao;no_empenho_execucao_direta;processo_de_compra;registro_de_preco;descricao_processo_de_comprar;no_processo_de_compra_planejamento_de_registro_de_precos;status_do_processo_de_compra_registro_de_precos;valor_indicacao;valor_utilizado_controle;valor_empenhado;valor_liquidado;valor_pago;valor_executado;justificativa;classificacao_iot;coluna1;coluna2;coluna3;coluna4;coluna5;coluna6;coluna7;coluna8;coluna9;coluna10;coluna11;coluna12;coluna13;coluna14;coluna15;coluna16;coluna17;coluna18;coluna19;coluna20
CORONEL SANDRO;1251;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;PMMG;89146;EXECUÇÃO DIRETA;APROVADO;27;4883;1863;Sim;Não;Aquisição de cães farejadores.;832022,0;Processo Concluído/ Publicado;60000,0;60000,0;39800,0;0,0;0,0;;Objetos licitados encontram-se no prazo de entrega previsto em contrato.;outras razões de ordem técnica devidamente justificadas.;;;;;;;;;;;;;;;;;;;;
Bloco Minas São Muitas;4291;FUNDO ESTADUAL DE SAÚDE;SES;89147;RESOLUÇÃO SES;APROVADO;478;4685;;Não;;;;;209314,0;209314,0;209314,0;209314,0;209314,0;;;;;;;;;;;;;;;;;;;;;;;
Bloco Minas São Muitas;4291;FUNDO ESTADUAL DE SAÚDE;SES;89148;RESOLUÇÃO SES;APROVADO;478;4682;;Não;;;;;209314,0;209314,0;209314,0;209314,0;209314,0;;;;;;;;;;;;;;;;;;;;;;;
CORONEL SANDRO;1251;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;PMMG;89150;EXECUÇÃO DIRETA;APROVADO;27;5002;"317;284;148;147;139;138";Sim;Não;MobiliÃƒÂƒÃ‚Â¡rio, equipamentos e informÃƒÂƒÃ‚Â¡tica.;972022,0;Processo Concluído/ Publicado;30000,0;30000,0;29389,97;7180,0;7180,0;;Parte dos objetos licitados encontram-se no prazo de entrega previsto em contrato. Houve economicidade no processo licitatório e utilizado valor a menor que indicado.;outras razões de ordem técnica devidamente justificadas.;;;;;;;;;;;;;;;;;;;;
CORONEL SANDRO;1511;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;PCMG;89151;EXECUÇÃO DIRETA;APROVADO;245;4961;628;Sim;Não;Aquisição de viaturas policiais;15111900000000,0;Processo Concluído/ Publicado;95000,0;95000,0;80000,0;0,0;0,0;;Economia gerada no certame licitatório. Prazo contratual de entrega de 180 dias a partir do empenho (12/2022) - item ainda não liquidado.;outras razões de ordem técnica devidamente justificadas.;;;;;;;;;;;;;;;;;;;;
ROBERTO ANDRADE;4291;FUNDO ESTADUAL DE SAÚDE;SES;89268;RESOLUÇÃO SES;APROVADO;3420;4677;;Não;;;;;56187,0;56187,0;56187,0;56187,0;56187,0;;;;;;;;;;;;;;;;;;;;;;;
ROBERTO ANDRADE;4291;FUNDO ESTADUAL DE SAÚDE;SES;89269;RESOLUÇÃO SES;APROVADO;3420;4679;;Não;;;;;56187,0;56187,0;56187,0;56187,0;56187,0;;;;;;;;;;;;;;;;;;;;;;;
ROBERTO ANDRADE;4291;FUNDO ESTADUAL DE SAÚDE;SES;89270;RESOLUÇÃO SES;APROVADO;3420;4679;;Não;;;;;112374,0;112374,0;112374,0;112374,0;112374,0;;;;;;;;;;;;;;;;;;;;;;;
ROBERTO ANDRADE;4291;FUNDO ESTADUAL DE SAÚDE;SES;89271;RESOLUÇÃO SES;APROVADO;329;4710;;Não;;;;;150000,0;150000,0;150000,0;150000,0;150000,0;;;;;;;;;;;;;;;;;;;;;;;
ROBERTO ANDRADE;4291;FUNDO ESTADUAL DE SAÚDE;SES;89272;RESOLUÇÃO SES;APROVADO;329;4701;;Não;;;;;150000,0;150000,0;150000,0;150000,0;150000,0;;;;;;;;;;;;;;;;;;;;;;;
