responsavel_nome;uo;uo_descricao;uo_sigla;numero_indicacao;tipo_de_indicacao;status_da_indicacao;numero_inciso;numero_do_controle_de_execucao;no_empenho_execucao_direta;processo_de_compra;registro_de_preco;descricao_processo_de_compras;no_processo_de_compra_planejamento_de_registro_de_precos;status_do_processo_de_compra_registro_de_precos;valor_indicacao;valor_utilizado_controle;valor_empenhado;valor_liquidado;valor_pago;valor_executado;justificativa;classificacao_iot
Bloco Minas São Muitas;4291;FUNDO ESTADUAL DE SAÚDE;SES;112570;RESOLUÇÃO SES;APROVADO;806;6533;;Não;;;;;417911,0;417911,0;417911,0;417911,0;417911,0;;;
Bloco Minas São Muitas;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112572;TRANSFERÊNCIA ESPECIAL;APROVADO;614;14835;;Não;;;;;82089,0;82089,0;82089,0;82089,0;82089,0;;;
Bloco Minas São Muitas;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112573;TRANSFERÊNCIA ESPECIAL;APROVADO;569;14836;;Não;;;;;417911,0;417911,0;417911,0;417911,0;417911,0;;;
Bloco Minas São Muitas;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112574;TRANSFERÊNCIA ESPECIAL;APROVADO;569;14837;;Não;;;;;1000000,0;1000000,0;1000000,0;1000000,0;1000000,0;;;
PROFESSOR CLEITON;1401;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;CBMMG;112580;EXECUÇÃO DIRETA;APROVADO;127;10860;542,0;Sim;Não;Obra para construção de uma piscina semi-olímpica com acessibilidade e vestiário no 9° BBM em Varginha/MG.;1,4020070000022024e+16;CONCLUÍDO;700000,0;700000,0;699000,0;647036,42;503225,55;;Economia processual;"ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;"
SAVIO DE SOUZA CRUZ;1251;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;PMMG;112591;EXECUÇÃO DIRETA;REPROVADO PELO ÓRGÃO;46;7943;329,0;Sim;Não;Mobiliários para atender demanda da 6ª Cia PM Ind em Esmeraldas/MG (armários, roupeiro, mesa, sofá, estação de trabalho).;1,2599660000672024e+16;CONCLUÍDO;22,0;22,0;0,0;0,0;0,0;;Não foi necessária a utilização. É complemento da 112597.;"ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;"
CORONEL SANDRO;4291;FUNDO ESTADUAL DE SAÚDE;SES;112593;RESOLUÇÃO SES;APROVADO;510;7952;;Não;;;;;180000,0;180000,0;180000,0;180000,0;180000,0;;;
CORONEL SANDRO;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112594;TRANSFERÊNCIA ESPECIAL;APROVADO;285;14838;;Não;;;;;30000,0;30000,0;30000,0;30000,0;30000,0;;;
Bloco Minas São Muitas;4291;FUNDO ESTADUAL DE SAÚDE;SES;112596;RESOLUÇÃO SES;APROVADO;805;6534;;Não;;;;;82089,0;82089,0;82089,0;82089,0;82089,0;;;
SAVIO DE SOUZA CRUZ;1251;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;PMMG;112597;EXECUÇÃO DIRETA;APROVADO;46;7943;329,0;Sim;Não;Mobiliários para atender demanda da 6ª Cia PM Ind em Esmeraldas/MG (armários, roupeiro, mesa, sofá, estação de trabalho).;1,2599660000672024e+16;CONCLUÍDO;21978,0;21978,0;21240,99;9475,99;4516,0;;Demais processos de compra da emenda ainda em andamento.;outras razões de ordem técnica devidamente justificadas.
JOAO LEITE;1231;SECRETARIA DE ESTADO DE AGRICULTURA, PECUÁRIA E ABASTECIMENTO - SEAPA;SEAPA;112604;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;APROVADO;22;8908;420,0;Sim;Sim;Termo de Execução de Ata de Registro de Preços o fornecimento de kits feira livre, destinados a atender a demandas desta Secretaria, em específico a Emendas Parlamentares, referente ao exercício de 20;1,2310210000552024e+16;CONCLUÍDO;50000,0;50000,0;48641,4;6726,4;0,0;0,0;A diferença entre os valores indicados e os empenhados referem-se às economias auferidas no processo de contratação. Em relação à execução financeira da despesa, bem como a entrega dos bens, necessário esclarecer que esta Secretaria tomou as providências de contratação, porém os fornecedores não entregaram os bens no prazo previsto, o que impossibilitou a entrega aos beneficiários finais. Ao longo do exercício de 2024, tão logo os bens sejam entregues terão sua destinação final encaminhada.;"ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;"
JOAO LEITE;1231;SECRETARIA DE ESTADO DE AGRICULTURA, PECUÁRIA E ABASTECIMENTO - SEAPA;SEAPA;112605;CELEBRAÇÃO DE CONVÊNIO;APROVADO;16;14468;;Não;;;;;300000,0;300000,0;300000,0;300000,0;300000,0;;;
JOAO LEITE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;SEDESE;112607;CELEBRAÇÃO DE CONVÊNIO;APROVADO;223;13693;;Não;;;;;150000,0;146289,08;146289,08;146289,08;146289,08;;;
JOAO LEITE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;SEDESE;112609;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;APROVADO;213;8853;208,0;Sim;Sim;Adesão a RP referente a aquisição kits esportivos (redes, bolas e uniformes) conforme solicitação da área demandante.;1,4812640000242024e+16;CONCLUÍDO;50000,0;37171,4;37171,4;37171,4;0,0;37171,4;Aquisição de melhor forma pelo governo do estado. ;"ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;"
JOAO LEITE;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;112611;TRANSFERÊNCIA ESPECIAL;APROVADO;305;14839;;Não;;;;;1000000,0;1000000,0;1000000,0;1000000,0;1000000,0;;;
CORONEL SANDRO;4291;FUNDO ESTADUAL DE SAÚDE;SES;112613;RESOLUÇÃO SES;APROVADO;510;7677;;Não;;;;;600000,0;600000,0;600000,0;600000,0;600000,0;;;
JOAO LEITE;4291;FUNDO ESTADUAL DE SAÚDE;SES;112615;RESOLUÇÃO SES;APROVADO;683;6233;;Não;;;;;260022,0;260022,0;260022,0;260022,0;260022,0;;;
