responsavel_nome;uo;uo_descricao;uo_sigla;numero_indicacao;tipo_de_indicacao;status_da_indicacao;numero_inciso;numero_do_controle_de_execucao;no_empenho;processo_de_compra;registro_de_preco;descricao_processo_de_compras;no_processo_de_compra_planejamento_de_registro_de_precos;status_do_processo_de_compra_registro_de_precos;valor_indicacao;valor_utilizado_controle;valor_empenhado;valor_liquidado;valor_pago;valor_executado;justificativa;classificacao_iot
ADRIANO ALVARENGA;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;158681;CELEBRAÇÃO DE CONVÊNIO;APROVADO;1021;37123;8-1490012;Não;Não;;;;104278,35;104278,35;104278,35;104278,35;104278,35;;;
ADRIANO ALVARENGA;1371;SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTÁVEL;SEMAD;158688;CELEBRAÇÃO DE CONVÊNIO;APROVADO;1024;41034;232-1370001;Não;Não;;;;300000,0;300000,0;300000,0;300000,0;300000,0;;;
ADRIANO ALVARENGA;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;SEDESE;158798;CELEBRAÇÃO DE CONVÊNIO;APROVADO;1050;41307;262-1480071;Não;Não;;;;150000,0;150000,0;150000,0;150000,0;150000,0;;;
ADRIANO ALVARENGA;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;SEDESE;158813;CELEBRAÇÃO DE CONVÊNIO;APROVADO;1057;40213;50-1480071;Não;Não;;;;100000,0;100000,0;100000,0;100000,0;100000,0;;;
ADRIANO ALVARENGA;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;158938;CELEBRAÇÃO DE CONVÊNIO;APROVADO;1087;38383;14-1490012;Não;Não;;;;74210,47;74210,47;74210,47;74210,47;74210,47;;;
ADRIANO ALVARENGA;4291;FUNDO ESTADUAL DE SAÚDE;SES;159059;RESOLUÇÃO SES;APROVADO;1116;37152;3165-1320076;Não;Não;;;;360000,0;360000,0;360000,0;360000,0;360000,0;;;
ADRIANO ALVARENGA;4291;FUNDO ESTADUAL DE SAÚDE;SES;159357;RESOLUÇÃO SES;APROVADO;1161;37125;3193-1320076;Não;Não;;;;360000,0;360000,0;360000,0;360000,0;360000,0;;;
ADRIANO ALVARENGA;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;SEDESE;159486;CELEBRAÇÃO DE CONVÊNIO;APROVADO;1198;41662;367-1480071;Não;Não;;;;150000,0;150000,0;150000,0;150000,0;150000,0;;;
ADRIANO ALVARENGA;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;160551;CELEBRAÇÃO DE CONVÊNIO;APROVADO;1201;38384;14-1490012;Não;Não;;;;15999,61;15999,61;15999,61;15999,61;15999,61;;;
ADRIANO ALVARENGA;4291;FUNDO ESTADUAL DE SAÚDE;SES;159691;RESOLUÇÃO SES;APROVADO;1235;30772;2952-1320076;Não;Não;;;;1000000,0;1000000,0;1000000,0;1000000,0;1000000,0;;;
ADRIANO ALVARENGA;4291;FUNDO ESTADUAL DE SAÚDE;SES;160773;RESOLUÇÃO SES;APROVADO;1397;37697;2973-1320074;Não;Não;;;;180000,0;180000,0;180000,0;180000,0;180000,0;;;
ADRIANO ALVARENGA;4291;FUNDO ESTADUAL DE SAÚDE;SES;161274;RESOLUÇÃO SES;APROVADO;1442;33422;167-1320077;Não;Não;;;;304800,0;304800,0;304800,0;304800,0;304800,0;;;
ADRIANO ALVARENGA;1371;SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTÁVEL;SEMAD;161592;CELEBRAÇÃO DE CONVÊNIO;APROVADO;1529;40122;216-1370001;Não;Não;;;;550000,0;550000,0;550000,0;550000,0;550000,0;;;
ADRIANO ALVARENGA;4291;FUNDO ESTADUAL DE SAÚDE;SES;161279;RESOLUÇÃO SES;APROVADO;1551;37524;2850-1320074;Não;Não;;;;300000,0;300000,0;300000,0;300000,0;300000,0;;;
ADRIANO ALVARENGA;4291;FUNDO ESTADUAL DE SAÚDE;SES;161293;RESOLUÇÃO SES;APROVADO;1553;37199;3149-1320076;Não;Não;;;;170000,0;170000,0;170000,0;170000,0;170000,0;;;
