responsavel_nome;partido;bloco_bancada;uo;uo_descricao;uo_sigla;numero_indicacao;tipo_de_indicacao;numero_inciso;status_indicacao_descricao;descricao_municipio;nome_convenente_beneficiado;numero_cnpj_convenente;codigo_escola;numero_da_acao;nome_da_acao;nome_grupo_de_despesa;descricao_genero;descricao_categoria;descricao_especificacao;descricao_indicacao;descricao_tipo_aplicacao;valor_indicado;justificativa_cancelamento_reprovacao;valor_utilizado;valor_empenhado;valor_liquidado;valor_pago;saldo_a_pagar_rp;rp_processado;rp_nao_processado;valor_executado_doacao;numero_instrumento_juridico_convenio;numero_siafi;numero_resolucao_transferencia_especial;unidade_executora_codigo;funcional_programatica_formatado;categoria_economica_despesa_codigo;item_despesa_codigo;gmifp_formatado;numero_empenho;obs;funcao
CORONEL SANDRO;PSL;BLOCO MINAS SÃO MUITAS;1251;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;PMMG;89146;EXECUÇÃO DIRETA;27;APROVADO;UBERABA;5º RPM - Uberaba;16.695.025/0001-97;;4558;MODERNIZAÇÃO E ESTRUTURAÇÃO DA POLÍCIA MILITAR DE MINAS GERAIS;INVESTIMENTOS;;;;Aquisição de 03 Cães farejadores para o 4º BPM de Uberaba;Bem Permanente;60000,0;;39800,0;39800,0;0,0;0,0;39800,0;0,0;39800,0;0,0;;;;;;;;;Consultar Controle de Execução;;6
Bloco Minas São Muitas;;Bloco Minas São Muitas;4291;FUNDO ESTADUAL DE SAÚDE;FES;89147;RESOLUÇÃO SES;478;APROVADO;SANTA EFIGENIA DE MINAS;FUNDO MUNICIPAL DE SAUDE DE SANTA EFIGENIA DE MINAS;22.557.371/0001-01;;4452;REGULAÇÃO DO ACESSO;INVESTIMENTOS;;;;;FES Ambulância Tipo A Simples Remoção Furgoneta;209314,0;;209314,0;209314,0;209314,0;209314,0;0,0;;;0,0;;9333254,0;8097;1320077,0;10.302.158.4452.0001;4,0;1,0;4.41.0.10.8;4414;;10
Bloco Minas São Muitas;;Bloco Minas São Muitas;4291;FUNDO ESTADUAL DE SAÚDE;FES;89148;RESOLUÇÃO SES;478;APROVADO;BUGRE;FUNDO MUNICIPAL DE SAÚDE DE BUGRE;11.309.666/0001-42;;4452;REGULAÇÃO DO ACESSO;INVESTIMENTOS;;;;;FES Ambulância Tipo A Simples Remoção Furgoneta;209314,0;;209314,0;209314,0;209314,0;209314,0;0,0;;;0,0;;9333134,0;8097;1320077,0;10.302.158.4452.0001;4,0;1,0;4.41.0.10.8;4382;;10
Bloco Minas São Muitas;;Bloco Minas São Muitas;4291;FUNDO ESTADUAL DE SAÚDE;FES;89149;RESOLUÇÃO SES;478;REPROVADO PELO ÓRGÃO;SAO FELIX DE MINAS;FUNDO MUNICIPAL DE SAÚDE DE SÃO FÉLIX DE MINAS;11.606.907/0001-15;;4452;REGULAÇÃO DO ACESSO;INVESTIMENTOS;;;;;FES Ambulância Tipo A Simples Remoção Furgoneta;209314,0;De acordo com o parecer emitido pela área finalística afeta a ação orçamentária 4452, o município não atende ao parâmetro de número de veículo por porte populacional.     Conforme consta no Portfólio de veículos 2022, disponibilizado no site do Sigcon-saída (Emendas 2022), o município  não possui cota para o tipo de veículo indicado;0,0;0,0;0,0;0,0;0,0;;;0,0;;;;;;;;;;;10
CORONEL SANDRO;PSL;BLOCO MINAS SÃO MUITAS;1251;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;PMMG;89150;EXECUÇÃO DIRETA;27;APROVADO;SAO DOMINGOS DO PRATA;6º PEL - São Domingos do Prata;16.695.025/0001-97;;4558;MODERNIZAÇÃO E ESTRUTURAÇÃO DA POLÍCIA MILITAR DE MINAS GERAIS;INVESTIMENTOS;;;;Mobiliário/Equipamentos para atender as necessidades do 6º PEL de São Domingos do Prata.;Bem Permanente;30000,0;;29389,97;29389,97;7180,0;7180,0;22209,97;0,0;22209,97;0,0;;;;;;;;;Consultar Controle de Execução;;6
CORONEL SANDRO;PSL;BLOCO MINAS SÃO MUITAS;1511;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;PCMG;89151;EXECUÇÃO DIRETA;245;APROVADO;PIUMHI;Delegacia de Polícia Civil - Piumhi;18.715.532/0001-70;;4025;GESTÃO DAS UNIDADES POLICIAIS;INVESTIMENTOS;;;;Viatura Descaracterizada Básica para atender a PCMG de Piumhi.;PCMG Viatura Descaracterizada Básica;95000,0;;80000,0;80000,0;0,0;0,0;80000,0;0,0;80000,0;0,0;;;;;;;;;Consultar Controle de Execução;;6
CHARLES SANTOS;REPUBLICANOS;BLOCO MINAS SÃO MUITAS;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;89202;TRANSFERÊNCIA ESPECIAL;233;APROVADO;MARILAC;MUNICIPIO DE MARILAC;18.409.193/0001-02;;2090;TRANSFERÊNCIAS ESPECIAIS;INVESTIMENTOS;;;;;;3000000,0;;3000000,0;3000000,0;3000000,0;3000000,0;0,0;;;0,0;;9328494,0;0021/2022;1490011,0;04.122.024.2090.0001;4,0;8,0;4.40.1.10.8;2716;;4
Bloco Minas São Muitas;;Bloco Minas São Muitas;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;89253;TRANSFERÊNCIA ESPECIAL;469;APROVADO;MATIPO;MUNICIPIO DE MATIPO;18.385.104/0001-27;;2090;TRANSFERÊNCIAS ESPECIAIS;INVESTIMENTOS;;;;;;500000,0;;500000,0;500000,0;500000,0;500000,0;0,0;;;0,0;;9329107,0;0021/2022;1490011,0;04.122.024.2090.0001;4,0;8,0;4.40.1.10.8;2832;;4
Bloco Minas São Muitas;;Bloco Minas São Muitas;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;89254;TRANSFERÊNCIA ESPECIAL;469;APROVADO;SIMONESIA;MUNICIPIO DE SIMONESIA;18.385.120/0001-10;;2090;TRANSFERÊNCIAS ESPECIAIS;INVESTIMENTOS;;;;;;500000,0;;500000,0;500000,0;500000,0;500000,0;0,0;;;0,0;;9329108,0;0021/2022;1490011,0;04.122.024.2090.0001;4,0;8,0;4.40.1.10.8;3933;;4
Bloco Minas São Muitas;;Bloco Minas São Muitas;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;89255;TRANSFERÊNCIA ESPECIAL;469;APROVADO;SAO GERALDO DA PIEDADE;PREFEITURA MUNICIPAL DE SÃO GERALDO DA PIEDADE;18.307.470/0001-68;;2090;TRANSFERÊNCIAS ESPECIAIS;INVESTIMENTOS;;;;;;500000,0;;500000,0;500000,0;500000,0;500000,0;0,0;;;0,0;;9329109,0;0021/2022;1490011,0;04.122.024.2090.0001;4,0;8,0;4.40.1.10.8;4226;;4
Bloco Minas São Muitas;;Bloco Minas São Muitas;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;89256;TRANSFERÊNCIA ESPECIAL;469;APROVADO;GOIABEIRA;MUNICIPIO DE GOIABEIRA;01.615.421/0001-90;;2090;TRANSFERÊNCIAS ESPECIAIS;INVESTIMENTOS;;;;;;100000,0;;100000,0;100000,0;100000,0;100000,0;0,0;;;0,0;;9329110,0;0021/2022;1490011,0;04.122.024.2090.0001;4,0;8,0;4.40.1.10.8;2123;;4
ANDREIA DE JESUS;PSOL;BLOCO DEMOCRACIA E LUTA;4291;FUNDO ESTADUAL DE SAÚDE;FES;89267;RESOLUÇÃO SES;368;REPROVADO PELO ÓRGÃO;DIAMANTINA;FUNDO MUNICIPAL DE SAÚDE DE DIAMANTINA;11.291.295/0001-19;;4460;ESTRUTURAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE (ORGANIZAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE);INVESTIMENTOS;;;;;FES Ambulância Tipo A Simples Remoção Pick-up 4x4;300000,0;Na ação orçamentária 4460 não é permitido o tipo de veículo indicado.;0,0;0,0;0,0;0,0;0,0;;;0,0;;;;;;;;;;;10
ROBERTO ANDRADE;AVANTE;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;4291;FUNDO ESTADUAL DE SAÚDE;FES;89268;RESOLUÇÃO SES;3420;APROVADO;LEOPOLDINA;FUNDO MUNICIPAL DE SAÚDE DE LEOPOLDINA;02.162.856/0001-99;;4460;ESTRUTURAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE (ORGANIZAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE);INVESTIMENTOS;;;;Veículo passeio 5 lugares para área da saúde;FES Veículo Passeio (5 lugares);56187,0;;56187,0;56187,0;56187,0;56187,0;0,0;;;0,0;;9334297,0;8096;1320076,0;10.301.159.4460.0001;4,0;1,0;4.41.0.10.8;1983;;10
ROBERTO ANDRADE;AVANTE;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;4291;FUNDO ESTADUAL DE SAÚDE;FES;89269;RESOLUÇÃO SES;3420;APROVADO;PAULA CANDIDO;FUNDO MUNICIPAL DE SAÚDE DE PAULA CÂNDIDO;21.486.703/0001-41;;4460;ESTRUTURAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE (ORGANIZAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE);INVESTIMENTOS;;;;Veículo 5 lugares para área da saúde;FES Veículo Passeio (5 lugares);56187,0;;56187,0;56187,0;56187,0;56187,0;0,0;;;0,0;;9333773,0;8096;1320076,0;10.301.159.4460.0001;4,0;1,0;4.41.0.10.8;1841;;10
ROBERTO ANDRADE;AVANTE;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;4291;FUNDO ESTADUAL DE SAÚDE;FES;89270;RESOLUÇÃO SES;3420;APROVADO;UBA;FUNDO MUNICIPAL DE SAÚDE DE UBÁ;15.582.382/0001-86;;4460;ESTRUTURAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE (ORGANIZAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE);INVESTIMENTOS;;;;2 (dois) veículos de passeio 5 lugares;FES Veículo Passeio (5 lugares);112374,0;;112374,0;112374,0;112374,0;112374,0;0,0;;;0,0;;9333888,0;8096;1320076,0;10.301.159.4460.0001;4,0;1,0;4.41.0.10.8;2329;;10
ROBERTO ANDRADE;AVANTE;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;4291;FUNDO ESTADUAL DE SAÚDE;FES;89271;RESOLUÇÃO SES;329;APROVADO;EUGENOPOLIS;FUNDO MUNICIPAL DE SAÚDE DE EUGENÓPOLIS;11.986.806/0001-17;;4460;ESTRUTURAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE (ORGANIZAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE);OUTRAS DESPESAS CORRENTES;;;;Custeio;FES Custeio;150000,0;;150000,0;150000,0;150000,0;150000,0;0,0;;;0,0;;9334689,0;8124;1320076,0;10.301.159.4460.0001;3,0;1,0;3.41.0.10.8;3386;;10
ROBERTO ANDRADE;AVANTE;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;4291;FUNDO ESTADUAL DE SAÚDE;FES;89272;RESOLUÇÃO SES;329;APROVADO;LEOPOLDINA;FUNDO MUNICIPAL DE SAÚDE DE LEOPOLDINA;02.162.856/0001-99;;4460;ESTRUTURAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE (ORGANIZAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE);OUTRAS DESPESAS CORRENTES;;;;Custeio;FES Custeio;150000,0;;150000,0;150000,0;150000,0;150000,0;0,0;;;0,0;;9334641,0;8124;1320076,0;10.301.159.4460.0001;3,0;1,0;3.41.0.10.8;3126;;10
ROBERTO ANDRADE;AVANTE;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;4291;FUNDO ESTADUAL DE SAÚDE;FES;89273;RESOLUÇÃO SES;329;APROVADO;UBA;FUNDO MUNICIPAL DE SAÚDE DE UBÁ;15.582.382/0001-86;;4460;ESTRUTURAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE (ORGANIZAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE);OUTRAS DESPESAS CORRENTES;;;;Custeio;FES Custeio;300000,0;;300000,0;300000,0;300000,0;300000,0;0,0;;;0,0;;9335401,0;8124;1320076,0;10.301.159.4460.0001;3,0;1,0;3.41.0.10.8;3686;;10
ROBERTO ANDRADE;AVANTE;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;4291;FUNDO ESTADUAL DE SAÚDE;FES;89274;RESOLUÇÃO SES;329;APROVADO;VISCONDE DO RIO BRANCO;FUNDO MUNICIPAL DE SAÚDE DE VISCONDE DO RIO BRANCO;15.826.980/0001-53;;4460;ESTRUTURAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE (ORGANIZAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE);OUTRAS DESPESAS CORRENTES;;;;Custeio;FES Custeio;150000,0;;150000,0;150000,0;150000,0;150000,0;0,0;;;0,0;;9335596,0;8124;1320076,0;10.301.159.4460.0001;3,0;1,0;3.41.0.10.8;3927;;10
ROBERTO ANDRADE;AVANTE;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;89275;CELEBRAÇÃO DE CONVÊNIO;153;APROVADO;ALVORADA DE MINAS;PREFEITURA MUNICIPAL DE ALVORADA DE MINAS;18.303.164/0001-53;;2007;EXECUÇÃO DO PROGRAMA DE APOIO AO DESENVOLVIMENTO MUNICIPAL - PADEM;INVESTIMENTOS;AQUISIÇÃO DE BENS;Permanente;Equipamento para Fábrica de Bloquetes;Aquisição de equipamentos para fábrica de bloquetes.;;200000,0;;200000,0;200000,0;200000,0;200000,0;0,0;;;0,0;1491001255/2022;9337612,0;;1490011,0;04.122.024.2007.0001;4,0;1,0;4.40.0.10.8;5254;;4
ROBERTO ANDRADE;AVANTE;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;89276;CELEBRAÇÃO DE CONVÊNIO;153;APROVADO;ARAPONGA;MUNICIPIO DE ARAPONGA;18.132.167/0001-71;;2007;EXECUÇÃO DO PROGRAMA DE APOIO AO DESENVOLVIMENTO MUNICIPAL - PADEM;INVESTIMENTOS;AQUISIÇÃO DE BENS;Permanente;Caminhão com implemento (baú, caçamba, pipa, carroceria, basculante, compactador, etc);Aquisição de caminhão pipa.;;400000,0;;400000,0;400000,0;400000,0;400000,0;0,0;;;0,0;1491000745/2022;9327546,0;;1490011,0;04.122.024.2007.0001;4,0;1,0;4.40.0.10.8;859;;4
ROBERTO ANDRADE;AVANTE;BLOCO DEPUTADO LUIZ HUMBERTO CARNEIRO;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;89278;CELEBRAÇÃO DE CONVÊNIO;153;APROVADO;JOSE GONCALVES DE MINAS;MUNICIPIO DE JOSE GONCALVES DE MINAS;01.613.372/0001-56;;2007;EXECUÇÃO DO PROGRAMA DE APOIO AO DESENVOLVIMENTO MUNICIPAL - PADEM;INVESTIMENTOS;AQUISIÇÃO DE BENS;Permanente;Caminhão com implemento (baú, caçamba, pipa, carroceria, basculante, compactador, etc);Aquisição de caminhão coletor de lixo.;;300000,0;;300000,0;300000,0;300000,0;300000,0;0,0;;;0,0;1491000744/2022;9327545,0;;1490011,0;04.122.024.2007.0001;4,0;1,0;4.40.0.10.8;857;;4
