responsavel_nome;partido;bloco_bancada;uo;uo_descricao;uo_sigla;numero_indicacao;tipo_de_indicacao;numero_inciso;status_indicacao_descricao;descricao_municipio;nome_convenente_beneficiado;numero_cnpj_convenente;codigo_escola;numero_da_acao;nome_da_acao;nome_grupo_de_despesa;descricao_genero;descricao_categoria;descricao_especificacao;descricao_indicacao;descricao_tipo_aplicacao;valor_indicado;justificativa_cancelamento_reprovacao;valor_utilizado;valor_empenhado;valor_liquidado;valor_pago;saldo_a_pagar_rp;rp_processado;rp_nao_processado;valor_executado_doacao;numero_instrumento_juridico;te_agencia;te_conta_corrente;numero_siafi;funcional_programatica_formatado;categoria_economica_despesa_codigo;numero_empenho
ADRIANO ALVARENGA;PP;BLOCO MINAS EM FRENTE;1491;SECRETARIA DE ESTADO DE GOVERNO;SEGOV;143497;TRANSFERÊNCIA ESPECIAL;1353;APROVADO;DESCOBERTO;MUNICIPIO DE DESCOBERTO;18.558.098/0001-62;;2048;TRANSFERÊNCIAS ESPECIAIS;INVESTIMENTOS;;;;;;11900,0;;11900,0;11900,0;11900,0;11900,0;0,0;0,0;0,0;0,0;0014/2024;0560-6;00000030983-4;9420272;1491 04 122 119 2048 0001 4 4 40 41 08 1 10 8;4;29
ADRIANO ALVARENGA;PP;BLOCO MINAS EM FRENTE;1251;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;PMMG;142375;EXECUÇÃO DIRETA;1355;APROVADO;RIO CASCA;3º PEL - Rio Casca;16.695.025/0001-97;;4366;ESTRUTURAÇÃO E MODERNIZAÇÃO;INVESTIMENTOS;;;;Aquisição de viatura de grande porte, 4X4 com cela e armamento.;Bem Permanente;190000,0;;190000,0;190000,0;0,0;0,0;190000,0;0,0;190000,0;0,0;;-;-;;1251 06 181 137 4366 0001 4 4 99 99 1 10 8;4;63, 132
ADRIANO ALVARENGA;PP;BLOCO MINAS EM FRENTE;4291;FUNDO ESTADUAL DE SAÚDE;FES;142378;RESOLUÇÃO SES;1371;APROVADO;NOVA UNIAO;FUNDO MUNICIPAL DE SAÚDE DE NOVA UNIÃO;13.434.627/0001-00;;4135;ACESSO ELETIVO;INVESTIMENTOS;;;;Recurso para aquisição de ambulância tipo A-furgoneta.;Furgoneta;268358,0;;268358,0;268358,0;268358,0;268358,0;0,0;0,0;0,0;0,0;9428;-;-;9425320;4291 10 302 062 4135 0001 4 4 41 42 01 0 10 8 ;4;2139
ADRIANO ALVARENGA;PP;BLOCO MINAS EM FRENTE;4291;FUNDO ESTADUAL DE SAÚDE;FES;143452;RESOLUÇÃO SES;1578;APROVADO;BELO HORIZONTE;FUNDAÇÃO HOSPITALAR SÃO FRANCISCO DE ASSIS;13.025.354/0001-32;;4121;POLÍTICA DE ATENÇÃO HOSPITALAR E URGÊNCIA E EMERGÊNCIA;OUTRAS DESPESAS CORRENTES;;;;Recurso para auxílio na manutenção das atividades hospitalares.;FES Custeio;160000,0;;160000,0;160000,0;160000,0;160000,0;0,0;0,0;0,0;0,0;9478;-;-;9427341;4291 10 302 058 4121 0001 3 3 41 41 01 0 10 8 ;3;2847
ADRIANO ALVARENGA;PP;BLOCO MINAS EM FRENTE;3041;EMPRESA DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL DO ESTADO DE MINAS GERAIS;EMATER;143480;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;1580;APROVADO;INIMUTABA;MUNICIPIO DE INIMUTABA;17.694.860/0001-75;;4236;FOMENTO PARA O DESENVOLVIMENTO DO SETOR AGROPECUÁRIO;OUTRAS DESPESAS CORRENTES;;;;Aquisição de insumos agrícolas, sementes de hortaliças para fomento a agricultura familiar no município.;EMATER Kit Insumos;3000,0;;2646,0;2646,0;2646,0;2646,0;0,0;0,0;0,0;2646,0;;-;-;;3041 20 608 097 4236 0001 3 3 99 99 0 10 8;3;991001, 8845008
ADRIANO ALVARENGA;PP;BLOCO MINAS EM FRENTE;3041;EMPRESA DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL DO ESTADO DE MINAS GERAIS;EMATER;143481;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;1580;APROVADO;INIMUTABA;MUNICIPIO DE INIMUTABA;17.694.860/0001-75;;4236;FOMENTO PARA O DESENVOLVIMENTO DO SETOR AGROPECUÁRIO;OUTRAS DESPESAS CORRENTES;;;;Aquisição de insumos agrícolas, sementes de feijão para fomento a agricultura familiar no município.;EMATER Kit Insumos;14000,0;;13950,0;13950,0;13950,0;13950,0;0,0;0,0;0,0;13950,0;;-;-;;3041 20 608 097 4236 0001 3 3 99 99 0 10 8;3;442509, 621105, 621106
ADRIANO ALVARENGA;PP;BLOCO MINAS EM FRENTE;3041;EMPRESA DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL DO ESTADO DE MINAS GERAIS;EMATER;143482;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;1580;APROVADO;SANTO ANTONIO DO AVENTUREIRO;MUNICÍPIO DE SANTO ANTONIO DO AVENTUREIRO;17.710.476/0001-19;;4236;FOMENTO PARA O DESENVOLVIMENTO DO SETOR AGROPECUÁRIO;OUTRAS DESPESAS CORRENTES;;;;Aquisição de insumos agrícolas, sementes de hortaliças para fomento a agricultura familiar no município.;EMATER Kit Insumos;3000,0;;2646,0;2646,0;2646,0;2646,0;0,0;0,0;0,0;2646,0;;-;-;;3041 20 608 097 4236 0001 3 3 99 99 0 10 8;3;991001, 8845008
ADRIANO ALVARENGA;PP;BLOCO MINAS EM FRENTE;3041;EMPRESA DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL DO ESTADO DE MINAS GERAIS;EMATER;143483;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;1580;APROVADO;SANTO ANTONIO DO AVENTUREIRO;MUNICÍPIO DE SANTO ANTONIO DO AVENTUREIRO;17.710.476/0001-19;;4236;FOMENTO PARA O DESENVOLVIMENTO DO SETOR AGROPECUÁRIO;OUTRAS DESPESAS CORRENTES;;;;Aquisição de insumos agrícolas, sementes de feijão para fomento a agricultura familiar no município.;EMATER Kit Insumos;14000,0;;13940,0;13940,0;13940,0;13940,0;0,0;0,0;0,0;13940,0;;-;-;;3041 20 608 097 4236 0001 3 3 99 99 0 10 8;3;442509, 621105, 621106
ADRIANO ALVARENGA;PP;BLOCO MINAS EM FRENTE;3041;EMPRESA DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL DO ESTADO DE MINAS GERAIS;EMATER;143487;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;1580;APROVADO;SAO GONCALO DO SAPUCAI;MUNICIPIO DE SAO GONCALO DO SAPUCAI;18.712.158/0001-50;;4236;FOMENTO PARA O DESENVOLVIMENTO DO SETOR AGROPECUÁRIO;OUTRAS DESPESAS CORRENTES;;;;Aquisição de insumos agrícolas, sementes de hortaliças para fomento a agricultura familiar no município.;EMATER Kit Insumos;3000,0;;2646,0;2646,0;2646,0;2646,0;0,0;0,0;0,0;2646,0;;-;-;;3041 20 608 097 4236 0001 3 3 99 99 0 10 8;3;991001, 8845008
ADRIANO ALVARENGA;PP;BLOCO MINAS EM FRENTE;3041;EMPRESA DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL DO ESTADO DE MINAS GERAIS;EMATER;143488;APLICAÇÃO DIRETA - DOAÇÃO DE BENS;1580;APROVADO;SAO GONCALO DO SAPUCAI;MUNICIPIO DE SAO GONCALO DO SAPUCAI;18.712.158/0001-50;;4236;FOMENTO PARA O DESENVOLVIMENTO DO SETOR AGROPECUÁRIO;OUTRAS DESPESAS CORRENTES;;;;Aquisição de insumos agrícolas, sementes de feijão para fomento a agricultura familiar no município.;EMATER Kit Insumos;14000,0;;13950,0;13950,0;13950,0;13950,0;0,0;0,0;0,0;0,0;;-;-;;3041 20 608 097 4236 0001 3 3 99 99 0 10 8;3;442509, 621105, 621106
