responsavel_nome;partido;bloco_bancada;uo_descricao;numero_indicacao;tipo_de_indicacao;valor_indicado;valor_utilizado;valor_empenhado;valor_liquidado;valor_pago;saldo_a_pagar_rp;rp_processado;rp_nao_processado;valor_executado_doacao;categoria_iot;justificativa
ADRIANO ALVARENGA;PP;BLOCO MINAS EM FRENTE;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;158469;EXECUÇÃO DIRETA;350000,0;347528,0;347528,0;75528,0;75528,0;272000,0;0,0;272000,0;0,0;ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;Conforme IOT selecionado.
ADRIANO ALVARENGA;PP;BLOCO MINAS EM FRENTE;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;159487;EXECUÇÃO DIRETA;350000,0;347183,15;347183,15;69255,44;69255,44;277927,71;0,0;277927,71;0,0;ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;Conforme IOT selecionado.
ADRIANO ALVARENGA;PP;BLOCO MINAS EM FRENTE;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;161506;EXECUÇÃO DIRETA;200000,0;197844,5;197844,5;178085,46;178085,46;19759,040000000008;0,0;19759,040000000008;0,0;ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;Conforme IOT selecionado.
ALÊ PORTELA;PP;BLOCO AVANCA MINAS;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;158972;EXECUÇÃO DIRETA;100000,0;35450,0;35450,0;0,0;0,0;35450,0;0,0;35450,0;0,0;outras razões de ordem técnica devidamente justificadas;Melhor aquisição pelo Estado
ALÊ PORTELA;PP;BLOCO AVANCA MINAS;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;157957;EXECUÇÃO DIRETA;18000,0;17933,18;17933,18;17933,18;7334,26;10598,92;10598,92;0,0;0,0;indicação com mais de um controle de execução cadastrado.;Saldo remanescente será utilizado em outros procedimentos licitatórios
ALÊ PORTELA;PP;BLOCO AVANCA MINAS;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;157952;EXECUÇÃO DIRETA;190000,0;183000,0;183000,0;0,0;0,0;183000,0;0,0;183000,0;0,0;ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;Salde de economia
ALÊ PORTELA;PP;BLOCO AVANCA MINAS;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;157984;EXECUÇÃO DIRETA;190000,0;183000,0;183000,0;0,0;0,0;183000,0;0,0;183000,0;0,0;ocorrência de saldo residual de recurso, decorrente de economia gerada no processo de contratação do objeto ou na orçamentação para celebração de instrumento jurídico;Salde de economia
ANDREIA DE JESUS;PP;BLOCO DEMOCRACIA E LUTA;UNIVERSIDADE DO ESTADO DE MINAS GERAIS;161184;EXECUÇÃO DIRETA;150000,0;150000,0;150000,0;144400,0;144400,0;5600,0;0,0;5600,0;0,0;outras razões de ordem técnica devidamente justificadas;A execução da emenda está em conformidade com o planejamento inicial
ANDREIA DE JESUS;PP;BLOCO DEMOCRACIA E LUTA;UNIVERSIDADE DO ESTADO DE MINAS GERAIS;161183;EXECUÇÃO DIRETA;250000,0;250000,0;250000,0;247200,0;247200,0;2800,0;0,0;2800,0;0,0;outras razões de ordem técnica devidamente justificadas;A execução da emenda foi realizada conforme planejamento
ANDREIA DE JESUS;PP;BLOCO DEMOCRACIA E LUTA;FUNDO ESTADUAL DE SAÚDE;180072;RESOLUÇÃO SES;220272,75;220272,75;220272,75;0,0;0,0;220272,75;0,0;220272,75;0,0;outras razões de ordem técnica devidamente justificadas;Indicação não foi liquidada e paga, pois a Entidade Beneficiária está com Cagec Irregular
